"Country or Area","Year","Value","Value Footnotes","Unit"
"India","2015","3152023","","tonnes"
"India","2014","3254904","","tonnes"
"India","2011","3980639","","tonnes"
"India","2008","3088387","","tonnes"
"India","2000","1429281","","tonnes"

